NaN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,4.9357,-3.7014,-2.1025,1.1734,1.9836,-5.4897,3.544,1.3917,7.6912,-3.2994,2.7471,-7.5431,4.2719,8.983,-1.3958,3.6249
1,8.0846,-10.765,-6.3098,-9.4122,-5.664,-8.6858,-1.935,-4.9269,7.5658,-4.1362,-0.36572,-9.2078,6.1455,14.736,0.52886,7.7716
2,-1.3673,11.969,10.728,11.811,20.649,13.066,13.693,9.3462,4.1791,-3.0098,-1.9221,-6.1211,9.0874,23.191,4.0648,11.734
3,-8.5407,17.414,15.376,17.184,24.058,19.07,20.624,14.311,-4.1633,-10.013,6.9795,-13.66,19.702,38.055,13.993,23.358
4,-2.7099,-2.8136,0.98097,-1.7448,6.1382,5.1104,6.9835,2.0357,-7.5412,-10.848,0.4487,-14.927,10.078,29.094,17.264,19.683
5,3.3052,-10.571,-8.9921,-10.419,-0.42062,-2.825,-5.8883,-9.1202,-0.17713,2.7772,-17.686,-0.030498,-11.733,5.8623,9.6033,1.6304
6,6.6071,-11.56,-13.576,-17.084,-9.8133,-3.8439,-13.472,-11.661,-1.6853,4.2303,-11.131,3.2763,-11.884,-1.8797,3.6259,-3.5177
7,0.32029,-0.7172,-6.2699,-10.407,-4.471,6.0654,-2.7848,-1.7419,-2.7651,5.8299,5.5315,5.9197,-2.2032,-3.345,-1.0886,-1.8108
8,0.35586,-1.6516,-8.1663,-12.167,-8.5643,1.1692,-5.6118,-5.5492,-0.93235,1.3084,3.9905,1.2219,-4.1603,-10.345,-2.4428,-5.2763
9,2.0755,-0.83595,-5.755,-7.9476,-9.3067,-1.4764,-5.8462,-5.5743,4.8104,4.1238,2.0807,8.3531,-3.5678,-7.6229,-1.4214,-8.3113
10,0.43949,-3.7072,-4.0816,-4.0355,-5.9968,-5.162,-4.8103,-5.4395,3.0995,3.1172,-8.0338,8.8718,-10.391,-12.282,-10.38,-12.804
11,2.3633,0.85194,5.5387,5.2252,3.795,0.81996,4.592,-1.1592,3.2919,9.9037,-6.7078,15.88,-6.6497,-8.894,-6.4448,-11.678
12,4.3027,4.7149,9.2134,7.6381,2.336,4.5453,10.795,2.3076,-1.1646,3.887,-2.2798,5.5365,-0.73649,-5.166,-2.8372,-5.7066
13,1.0245,15.762,15.323,18.324,10.574,12.677,15.342,1.6222,2.3389,9.8369,-7.2745,11.562,-4.0352,-7.9305,-0.37554,-5.6233
14,-4.1633,12.547,14.319,19.057,14.544,11.465,18.679,6.0157,-7.9354,-3.9555,4.7396,-2.8348,9.7164,10.578,-1.8704,8.3483
15,-1.1587,-0.034796,3.4934,7.0551,1.8529,0.26253,8.9133,-1.0947,-3.8016,-2.3849,-2.2484,1.865,3.5621,4.7612,3.6147,9.0679
16,-2.4409,3.1471,4.3623,6.4472,0.19105,2.6534,6.6237,-1.153,-3.866,-9.6009,-5.3573,-4.6925,-1.6613,-2.3721,-2.265,-1.4458
17,7.2582,-11.077,-6.4122,-9.0769,-12.157,-9.4025,-7.9541,-6.9148,0.28569,-0.49106,-9.2576,4.03,-6.5357,-8.2652,3.1935,-6.5739
18,5.8646,-11.979,-12.298,-12.144,-12.252,-9.932,-13.232,-6.0744,0.20363,2.7694,-9.8465,3.2189,-9.1556,-15.395,-0.19706,-7.1979
19,0.94855,-4.072,-4.9974,-7.6151,-8.3716,-5.5937,-6.8257,0.39572,-0.72689,2.992,7.909,3.5627,1.1558,-8.4119,3.0756,-1.5543
20,3.6669,-7.3241,-5.5533,-10.566,-16.109,-9.2412,-11.686,0.20692,-2.4878,-2.5645,11.698,-0.8731,-0.83117,-8.8322,-1.7761,-6.4004
21,2.0369,7.3779,3.2233,3.3965,-4.6685,3.77,-1.2824,7.4202,3.4372,6.1692,8.3122,8.2218,-3.7616,-10.473,-6.9866,-10.589
22,-5.7036,6.3351,4.2704,1.384,0.24108,1.9034,5.9377,4.6264,-3.6975,-4.0203,20.111,-7.2896,11.973,9.337,-8.3885,6.7296
23,-7.444,5.3312,1.8888,1.5567,4.4254,-1.7458,7.2975,-0.72745,-0.30842,-3.0608,3.1268,-6.6992,2.8968,5.2796,-2.215,3.6393
24,-9.9385,17.953,11.189,14.802,13.83,11.2,16.765,8.8393,-0.54239,-4.9251,2.8555,-10.984,7.6794,11.666,1.4538,8.4135
25,-1.2136,-0.90689,0.62871,0.67037,-1.5132,-1.3157,1.1108,-2.1248,-1.3467,-3.4599,4.1916,-11.172,10.412,13.866,13.946,12.757
26,-0.97513,-2.7437,-3.0135,1.1244,1.7472,-4.7944,-1.9109,-6.0361,-1.9452,0.13386,-9.4373,-3.3781,-0.75283,2.4621,9.3132,0.644
27,0.31627,-4.7009,-6.2463,-2.9506,0.6002,-9.432,-6.2396,-5.3929,-5.9567,-1.2048,-12.885,-3.228,-1.7871,3.9786,3.333,0.94819
28,2.8937,-12.292,-9.845,-8.129,-7.251,-13.252,-12.535,-11.651,-1.1667,5.3755,-17.724,3.0307,-3.729,1.0414,1.7091,-2.4693
29,1.3826,-0.66539,-1.8446,0.39613,-0.64348,0.21394,-3.361,-3.5938,0.0022523,3.694,-9.5634,0.94645,2.1604,0.39489,-5.1151,-1.8208
30,1.3255,-0.65232,-1.7734,0.44156,-0.62617,0.22639,-3.4263,-3.5933,-0.066895,3.7625,-9.5111,0.95135,2.1954,0.45054,-5.1112,-1.8208
31,-3.6917,10.482,6.3391,6.5679,7.7475,10.573,2.3209,7.8914,1.4397,1.8908,3.5967,0.80758,7.5279,0.71853,-9.5028,3.2325
32,-4.1733,6.743,5.7078,2.5652,2.6643,6.4525,0.26734,9.9999,-2.0446,-6.3987,15.723,-6.1807,9.2591,-0.82707,-7.7276,4.8794
33,-1.4133,3.1617,0.093315,-1.8327,-3.3836,1.0601,-2.9244,6.3819,-0.52369,-3.0716,17.604,-1.075,1.7492,-8.6725,-1.6113,-4.2391
34,1.2843,-6.3312,-9.3588,-9.5481,-10.883,-8.3609,-12.966,-3.0217,-0.46487,-1.8982,4.4702,-0.32389,-12.229,-21.869,-3.2759,-11.165
35,0.92097,-3.4049,-5.7958,-3.1538,-5.1248,-8.2654,-11.192,-5.835,3.7644,3.256,3.9586,5.531,-13.444,-19.265,-4.4663,-8.8542
36,-1.0474,-6.9415,-8.1554,-5.9233,-7.2931,-12.794,-12.681,-8.7703,0.79675,-4.5833,1.7145,-4.6126,-14.495,-12.997,-9.6538,-9.5788
37,0.50161,-3.6556,-5.0313,-2.309,-3.9377,-5.8348,-5.8195,-6.2227,4.4781,1.7053,-9.8559,2.0858,-17.082,-12.947,-8.4653,-11.8
38,-5.1089,12.617,9.1488,14.791,13.638,12.832,14.016,9.6616,-2.1979,-4.8396,-3.1533,-6.8201,-0.965,3.0627,-9.9883,0.49107
39,-3.3392,4.832,5.7333,6.972,8.9592,6.5821,9.093,5.5304,-2.1275,-2.2655,-2.4907,-2.7112,5.9291,9.9977,1.9803,9.3693
40,13.488,-13.591,-10.583,-8.5421,-4.5841,-8.4763,-7.5722,-5.6232,7.0362,11.711,-26.372,16.331,-6.0114,-6.9781,5.3544,-8.8666
41,5.9572,9.5338,10.045,8.5349,12.328,13.705,9.2868,12.884,0.17208,7.8916,-1.1581,10.451,16.013,10.419,4.8836,2.1293
42,-0.43168,21.891,22.408,19.331,19.858,19.659,18.799,23.054,1.0253,6.1631,26.101,5.8397,31.302,24.1,18.628,19.006
43,-4.1711,14.976,15.378,15.147,10.363,12.5,13.449,17.541,-1.2579,-1.5542,32.177,-6.8113,24.504,18.765,14.304,20.045
44,3.6687,-4.136,-2.0019,-5.4225,-9.5207,-2.9204,-4.054,-2.4606,5.5118,6.5616,13.76,5.3527,-1.9333,-6.5962,9.2559,0.82005
45,-0.19805,10.503,9.5222,10.308,6.2063,9.3649,6.1071,7.0936,1.6152,4.8867,14.693,4.0434,0.32279,1.0672,1.8481,-2.7336
46,2.3534,-1.1019,-0.88534,-2.7181,-6.2476,-4.257,-3.7807,-3.3367,1.8803,3.1899,0.082893,1.2519,-9.7346,-5.747,-3.7684,-2.9833
47,2.7194,-2.2604,0.64488,1.3207,1.156,-2.9109,0.19553,-2.0301,0.87393,2.5919,-4.1798,2.4664,-6.5398,-2.6502,-3.338,-0.44807
48,2.7915,0.56149,3.6856,6.5592,9.0535,4.2876,5.3425,3.4978,-0.8486,1.9858,-5.3724,2.0891,0.9063,5.4379,0.90361,3.91
49,2.8426,-4.3427,-1.8656,-2.6208,1.3857,-0.050536,-0.89341,0.39769,-3.3178,0.38495,-7.903,-0.40745,3.9656,7.9072,2.456,5.138
