NaN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-0.76356,-6.0945,2.1135,1.2884,4.6413,-1.0881,7.8115,-1.3431,5.8884,6.224,-10.44,11.198,2.8889,10.148,1.4664,5.9707
1,5.4486,-17.238,-7.7422,-9.8821,-6.1108,-10.461,-1.0926,-11.664,-4.6072,6.7147,-21.251,7.9043,-9.5558,2.6365,2.8099,0.41938
2,12.667,-20.193,-11.235,-13.839,-8.4568,-12.217,-7.349,-20.474,-17.166,17.944,-29.271,18.99,-23.49,-11.477,-9.6638,-11.344
3,5.1741,8.4949,2.3301,8.1336,11.677,13.43,7.6352,-6.2995,-25.782,9.6609,-10.422,3.9819,-9.3782,-0.96478,-21.389,-4.6692
4,4.1244,22.122,13.14,15.659,14.939,24.441,15.976,9.7613,-8.1566,4.1561,12.824,-4.1326,10.189,17.746,0.37862,14.476
5,-7.8536,20.567,15.67,13.842,14.475,22.972,15.539,15.582,6.9622,-4.2952,30.468,-9.1579,19.153,17.337,26.015,14.114
6,-5.1057,3.7175,2.9263,-4.8719,-6.0339,3.8365,2.0781,4.9604,9.4432,-8.4544,23.918,-9.8314,10.057,3.1321,27.261,4.15
7,-2.5701,7.6586,6.0893,-1.2505,-4.8043,3.4245,-1.9917,3.5826,5.8574,-1.4086,8.1047,0.37188,-1.55,-8.814,22.131,-8.2079
8,-6.78,4.4952,5.3829,1.9956,0.28524,2.8782,-1.4739,3.6624,3.1924,-2.3928,6.7025,-2.5184,4.3979,-0.48549,8.3322,-4.3138
9,1.0039,-20.991,-14.812,-19.649,-20.468,-23.283,-14.178,-13.973,-5.3735,-2.9659,-15.027,0.249,-11.602,-14.694,-5.8026,-11.298
10,-5.0568,3.7184,2.8889,-4.8165,-6.0891,3.8082,2.0608,4.9186,9.4034,-8.5353,23.895,-9.7621,9.998,3.1627,27.269,4.15
11,-2.5139,7.6821,6.0208,-1.2844,-4.8608,3.4651,-2.0678,3.5812,5.8454,-1.3911,8.1116,0.37631,-1.4893,-8.7895,22.076,-8.2079
