NaN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,4.0607,11.474,7.2151,-0.99402,-2.3914,11.612,0.80502,1.7911,-3.6793,-5.9233,15.423,-3.0031,5.1238,6.8173,-0.52675,-3.6462
1,10.79,-15.657,-14.987,-23.774,-20.227,-14.55,-19.004,-15.41,0.034163,-5.6821,0.96883,-3.7889,-7.5307,-7.5689,-11.635,-10.484
2,7.4136,-18.753,-18.696,-20.562,-16.503,-11.526,-15.701,-12.849,0.5911,4.8571,-8.7971,8.1634,-10.459,-14.508,-15.421,-15.084
3,-1.1839,-10.899,-15.085,-13.38,-5.9819,-3.1288,-10.707,-2.94,-1.1265,-0.36376,0.26714,-1.7635,3.3794,-7.343,-14.518,-4.895
4,-4.1284,-7.6894,-8.1143,-5.9254,1.6675,-3.4072,-4.0132,2.3394,2.0378,0.91398,9.652,-2.4925,15.202,1.8677,2.1399,7.7665
5,-8.7865,-2.979,1.0982,4.514,8.4764,1.7162,4.2046,5.6848,3.3465,-3.9646,9.3407,-8.2356,18.573,9.933,12.042,8.9867
6,-4.7502,-7.3531,-1.8645,-2.6164,0.34385,-3.8222,-3.7635,-1.9563,11.017,2.865,-1.9247,1.0232,7.1056,1.7971,17.849,6.4117
7,-5.9181,6.8405,9.6641,9.7806,8.6225,7.9866,10.722,9.093,6.4043,1.8225,3.0585,-3.966,6.4074,3.3604,10.054,8.9689
8,-2.242,8.8209,15.821,15.679,11.498,11.147,15.686,12.275,5.4955,4.1841,9.1832,0.70614,10.514,13.557,17.08,14.289
9,5.5145,-3.8855,6.8017,7.1457,5.1245,0.81907,3.918,-1.1488,6.5144,7.0408,-11.981,4.509,-10.877,0.0052481,8.9233,-1.2854
10,2.7022,8.5979,13.798,16.741,16.847,8.2616,17.336,10.436,-2.6072,-7.5748,16.752,-11.881,12.253,24.269,-4.9714,23.196
11,11.743,-8.4662,-2.3587,1.9171,0.84098,-10.362,0.9079,-8.5401,-2.2454,1.9639,-8.5614,1.2422,-11.857,-4.6015,-0.58171,-0.55779
12,10.636,-2.2172,2.1966,8.457,4.0303,-2.2169,7.2066,-2.6499,-9.0188,3.335,-7.1695,4.2633,-7.4093,-1.8133,-2.7314,-2.9786
13,3.4681,8.4145,8.9482,14.588,7.4805,8.2255,12.519,9.7932,-8.2722,-2.4295,0.14496,0.10976,4.5468,4.3695,-2.4505,-0.4833
14,1.4367,0.25134,2.5006,2.0875,-2.9126,4.3245,1.733,8.3164,-4.2017,-8.0224,11.756,-4.1533,16.895,7.6087,3.9745,4.7207
15,7.6314,-31.002,-21.974,-30.734,-32.243,-23.899,-25.871,-14.529,-0.15936,-1.473,-2.6142,2.6407,5.5556,-8.4598,9.4156,-9.7706
16,-4.8941,-8.2555,-11.071,-5.013,-5.3347,-7.4809,-9.3383,-3.1828,1.8816,14.816,-16.359,17.419,-5.2249,-18.802,-0.56281,-24.425
17,-11.785,3.7008,-2.0626,4.443,6.8627,1.8432,0.045062,9.7335,-1.516,-1.0647,11.165,-0.13823,18.169,8.9277,-1.2997,7.9573
18,-4.5344,-9.6999,-13.093,-12.213,-7.0184,-12.125,-10.144,-1.174,2.2564,-4.063,7.0276,-1.2615,8.5491,4.5154,6.1521,6.5503
19,-7.6939,-6.9035,-8.5688,-6.417,-3.252,-6.2837,0.015722,2.7097,1.0204,-6.7987,0.36001,-2.2283,-0.52951,-1.7396,3.3376,-4.2076
20,-4.3105,-2.1791,-4.8444,-1.8124,-2.3769,-3.442,0.12046,-2.2316,3.6247,2.1466,-9.1774,5.4956,-14.8,-11.758,2.4385,-10.289
21,0.504,5.1787,0.34988,1.4392,1.7591,0.75073,-1.3765,-5.7445,0.098969,-2.053,-7.7892,-0.70753,-16.218,-8.9574,-3.8118,-7.9621
22,3.4516,15.425,10.128,8.762,6.0419,12.701,5.6188,2.8542,-2.593,-0.46713,3.3355,2.2141,-4.6599,3.8955,-7.3036,1.849
23,1.4693,21.341,13.877,14.519,10.324,17.263,8.8533,4.7641,-5.668,1.6485,-2.8374,-0.26356,-10.33,-2.5056,-12.757,-0.026163
24,1.119,27.497,21.224,20.487,18.77,22.062,14.898,6.8801,-4.1162,2.0575,6.7451,1.7293,0.29025,5.5691,-2.011,11.448
25,0.48428,18.616,16.951,12.385,8.7356,15.902,11.546,8.1102,-4.8429,-12.95,17.448,-11.828,14.39,14.813,6.9129,23.407
26,1.0336,8.7552,5.0301,1.0394,-4.0329,4.3943,-1.5262,-0.77449,4.0341,-3.7921,-2.2543,-1.7337,-2.8013,-5.5472,13.45,4.8505
27,0.091694,-1.5564,-4.9366,-10.317,-10.996,-4.8677,-8.541,-2.2965,4.9022,-10.124,-4.1462,-7.9106,-2.4977,-7.3857,4.3067,-10.216
28,2.5191,-6.1202,-6.986,-12.309,-13.893,-6.2772,-9.1964,1.3481,1.9701,-6.5524,-0.33926,-0.46098,5.0015,-2.7732,6.2457,-13.839
29,1.4032,-5.539,-5.0557,-10.699,-10.521,-4.9343,-10.635,-0.38772,-1.1775,-7.4039,0.79866,-4.2222,6.2199,-0.878,-0.15374,-7.3197
30,0.80626,-11.864,-8.5034,-15.411,-13.391,-10.818,-13.916,-7.22,1.0874,-4.3534,1.6018,-0.68862,3.973,-3.6806,-4.5802,-0.64473
31,0.41251,-11.113,-10.22,-11.262,-8.1604,-10.916,-8.7045,-7.3575,0.1079,-4.541,-2.2798,-3.6368,-2.4015,-8.3406,-9.7491,-1.908
32,2.7757,-7.731,-7.7819,-7.5743,-0.66667,-10.065,-3.1558,-4.1486,1.5082,2.0542,-3.8352,3.8997,-2.4652,-4.3755,-0.13242,4.7115
33,3.391,-5.3044,-4.4073,-4.3246,-1.7018,-6.6429,-1.2644,-3.7643,3.2806,1.8368,-1.9617,3.3953,-1.8376,0.2528,-5.1825,5.4327
34,5.7245,-9.4554,-7.0446,-6.4809,-5.285,-8.3667,-6.6207,-10.962,5.3366,9.0638,-8.0958,8.2567,-11.205,-3.9895,-9.8285,-2.4306
