NaN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-0.12833,31.499,21.851,38.617,27.016,24.655,10.758,2.6306,-4.7933,6.5111,7.2234,4.3082,-5.8176,-2.1866,1.1587,-3.2633
1,-6.8601,34.69,27.392,39.278,29.685,25.811,20.141,7.5162,-5.9058,-7.6355,25.239,-15.557,13.698,20.115,-9.1983,19.84
2,-1.9951,21.406,22.422,22.813,16.476,9.8386,19.043,4.2635,0.61545,-1.9138,7.7744,-7.8063,-1.0811,5.6036,-4.9522,7.1584
3,-2.3548,24.198,21.885,30.429,23.69,14.371,20.171,7.5212,0.011931,-3.5385,2.5973,-8.5628,4.0634,9.685,-6.8906,6.9675
4,11.772,-1.1698,10.19,4.2764,0.34319,-7.0682,16.796,7.965,6.5175,3.8567,-7.189,1.9237,5.7151,10.586,6.9733,6.4239
5,-1.2829,15.548,15.416,18.089,15.785,21.461,14.826,18.912,-11.116,1.0171,30.658,2.8224,36.306,31.351,4.6812,27.081
6,-6.0956,17.72,16.455,15.967,12.44,24.092,15.7,21.58,-0.8398,-4.9211,30.642,-2.6509,26.499,22.369,-4.9033,17.238
7,-14.606,19.146,14.5,15.714,12.698,23.587,12.586,17.296,0.5141,-5.3828,27.483,-4.5781,16.01,11.851,-9.7289,11.346
8,-5.8526,-16.961,-7.0061,-20.631,-19.969,-13.319,1.1001,7.8146,-0.12553,-10.936,11.378,-12.544,-0.68512,-2.7683,-0.7112,2.7857
9,3.9009,-25.755,-24.739,-31.179,-29.018,-27.284,-15.988,-7.8031,1.7608,1.1006,-29.362,1.9296,-34.57,-34.856,9.2539,-26.337
10,-3.4142,-3.0118,-10.477,-3.3163,1.7233,-4.0224,-10.816,-7.3984,2.0344,-3.0039,-7.5024,-6.2262,2.0152,-0.1281,3.165,3.0261
11,-7.0718,-4.7469,-9.327,-1.3412,3.9808,-1.8234,-5.333,0.20736,11.305,-9.1204,-2.6204,-9.3311,10.808,7.7172,6.0817,8.7722
12,-13.088,13.455,2.3322,13.605,21.202,17.116,-1.5839,6.3569,13.556,-9.2962,10.975,-10.871,23.819,18.702,3.0866,15.17
13,-12.054,5.2205,5.9373,4.6901,9.9503,11.109,5.6298,15.156,8.9121,-15.674,26.174,-17.397,36.653,28.59,7.7727,24.712
14,1.8902,-12.231,-0.013956,-9.2501,-9.1232,-6.1542,3.816,10.676,15.678,-5.7535,9.768,-0.35341,11.861,2.0418,15.825,0.6871
15,0.61082,-9.5137,-3.6251,-10.225,-10.344,-5.0934,-4.5327,-2.1847,6.8056,4.3171,2.9561,10.402,-19.406,-21.369,-11.63,-18.536
16,0.68372,8.4602,3.6864,12.45,9.8022,5.692,-5.8909,-6.6358,-1.8554,10.587,-9.5506,15.439,-24.837,-21.444,-9.7322,-16.392
17,1.0411,-3.8911,4.9421,-3.1292,-7.0054,-7.3501,0.23376,-2.8473,-17.361,-3.6411,0.79802,-1.2171,-5.5522,2.3431,-7.6833,3.8036
18,13.609,-11.693,-2.079,-12.964,-15.928,-18.067,-5.8708,-10.298,-10.152,8.1274,-33.519,12.803,-32.011,-22.535,-6.5375,-19.413
19,17.414,-19.621,-12.737,-17.358,-18.573,-26.271,-15.193,-17.459,-10.862,8.1634,-35.511,9.5611,-35.32,-26.83,-18.392,-21.567
20,1.148,10.946,4.9025,7.0794,4.128,2.7804,1.2371,3.8443,-4.5218,0.87016,6.2366,-1.9038,16.127,14.206,19.151,12.346
21,-2.6164,11.256,6.5588,6.2147,7.0258,8.3046,3.5798,8.1704,-1.1195,-7.2617,13.499,-9.2318,20.963,14.893,13.637,10.189
22,1.084,1.3808,0.00048712,-3.5899,-1.0649,3.7858,3.2397,7.382,6.78,-5.3329,11.99,-4.1453,16.738,8.0058,20.981,7.0779
23,2.9376,-8.3528,-10.144,-7.7475,-10.573,-5.949,-2.6222,-1.8219,12.91,-2.4901,7.6253,-2.2665,2.3426,-4.0823,21.761,-6.9154
24,0.70704,-6.7253,-7.0265,-4.863,-5.9659,-3.1439,2.1194,-0.6472,11.32,1.9498,15.285,1.0424,4.3865,1.4687,17.779,-2.9598
25,-11.63,1.5969,8.583,7.6621,10.419,7.0959,14.917,7.8359,-9.2191,-8.596,-4.2428,-9.857,7.1115,14.777,2.6662,14.784
26,-11.166,0.21244,4.531,6.3073,6.2921,7.2363,7.6085,-0.58205,-10.237,-7.1215,-4.5684,-7.7798,-1.7881,4.5355,-6.2524,8.612
27,0.96265,-27.334,-11.592,-19.89,-16.681,-24.449,-1.7485,-8.4231,-10.887,-4.8941,-11.362,-6.146,-19.583,-15.504,-6.714,-5.9779
28,8.2925,-25.079,-17.419,-20.4,-13.256,-27.408,-10.105,-15.204,-10.028,8.1712,-29.022,5.6586,-25.98,-26.249,-0.043547,-21.51
29,-2.3051,-7.0735,-12.067,-9.7762,-7.3355,-6.1507,-9.7814,-9.9986,-16.4,1.9529,-13.774,-1.836,0.85511,-6.4565,-3.4637,-0.36264
30,15.36,-12.228,-13.991,-13.92,-11.975,-5.2147,-10.949,1.0627,-1.9933,17.747,-2.9386,16.037,-4.8798,-15.776,-11.805,-18.811
31,3.2592,12.864,0.93702,14.036,19.677,15.026,-4.0513,3.2592,-8.837,9.45,18.901,3.2009,14.463,7.3577,-9.5489,6.3764
32,-1.0835,15.933,7.9737,15.489,16.246,13.861,0.86655,3.8309,-6.0125,5.5978,21.459,0.34409,11.615,11.389,-7.9105,10.398
33,-7.3678,24.005,14.978,23.24,21.236,21.801,11.133,10.762,-5.2296,-6.2683,37.673,-9.4496,19.336,24.384,-16.401,23.482
34,-5.6181,20.746,17.144,23.25,24.222,17.708,13.504,8.6706,5.0704,-3.7141,23.532,-2.5619,16.722,23.947,5.1059,20.42
35,4.6362,1.2294,-0.5493,-1.1819,-4.8961,-7.3481,-4.8406,-7.0186,5.1159,3.4528,-1.6856,6.2654,-12.058,-11.41,17.242,-12.434
36,-6.1059,21.427,15.559,18.038,12.874,14.372,6.4786,0.67464,-4.9381,-5.7992,32.591,-7.4767,15.291,14.293,4.0788,6.4075
37,-7.8759,0.27127,7.8806,0.12476,-1.3836,1.1929,8.8631,7.6398,-5.0824,-5.7023,29.471,-6.8629,16.688,14.082,12.663,9.9545
38,0.78323,-12.867,-1.8029,-9.3743,-12.112,-10.842,-1.6402,1.8425,-6.1709,-2.1748,2.3177,-1.2879,-11.321,-15.299,11.383,-15.122
39,4.9386,-5.2895,0.31869,-6.3228,-7.8188,-3.2253,-4.2055,-1.78,-5.8561,5.4689,-3.0716,8.9845,-14.914,-18.454,5.1248,-15.474
40,20.947,-37.967,-27.76,-33.724,-33.098,-38.692,-17.678,-15.849,-4.5827,18.98,-57.556,16.464,-37.567,-34.296,-5.4745,-33.188
41,0.57047,14.113,-2.2802,15.691,17.972,10.999,-10.233,-14.736,-12.642,12.038,-18.079,10.839,-6.0977,-0.22953,-22.668,-0.74641
42,-18.699,28.596,13.763,29.164,30.261,29.632,9.3888,2.553,-17.053,-10.447,26.187,-11.387,28.02,31.878,-15.836,35.006
43,-6.3735,-1.9403,-0.90293,-0.35483,0.078364,-1.399,7.9103,3.8501,-3.3971,-10.135,1.9301,-10.621,3.7808,4.9672,0.31849,11.513
44,-7.2531,1.4443,-1.0664,-0.080357,4.8044,0.48637,6.3531,5.0986,1.8202,-8.2236,1.7213,-8.5829,7.6887,8.5708,-3.0705,9.5291
45,-4.0827,11.723,4.3397,11.698,9.446,11.509,10.543,8.7021,15.013,-3.9112,3.966,-1.4686,-1.5164,-3.2038,7.6422,-3.7774
46,0.53157,5.9159,3.4601,3.8752,2.311,4.7471,6.3185,7.7529,16.629,-1.4965,9.529,2.5536,4.9545,3.413,11.904,6.9455
47,3.1402,-8.3017,-2.1029,-11.916,-11.083,-7.1629,2.2829,4.1475,14.012,-6.254,5.6066,-5.1406,1.4245,-0.67871,0.8582,5.8966
48,3.3332,7.9151,3.8736,5.8427,7.6447,5.5279,-1.8442,-0.035787,15.905,5.1442,-5.3599,6.1102,-8.0813,-10.66,0.70208,-7.3582
49,-2.016,14.786,10.294,11.701,12.087,12.742,3.6734,7.0124,8.4073,-7.2139,9.384,-5.5559,10.537,9.9421,5.9373,13.196
50,2.6176,-8.7264,-2.6646,-11.199,-8.9164,-11.322,-6.2472,-0.43719,1.4419,-1.2584,-9.8142,-3.502,-8.499,-4.3276,-0.031453,-2.8273
51,7.0203,-11.919,-10.334,-15.573,-15.274,-14.74,-14.473,-9.8164,-3.0068,2.38,-20.757,1.071,-24.691,-23.33,-10.282,-20.374
52,0.3632,-0.5729,-4.7475,-1.7995,-0.29068,-0.081353,-12.238,-5.9206,-13.867,4.2976,-1.2857,5.1246,-4.606,-5.2504,-18.879,-5.217
53,-6.9535,4.5933,3.446,7.4985,4.2622,6.3035,-2.0537,2.8108,-18.333,-5.7947,15.139,-7.6238,14.519,12.565,-14.663,9.2161
54,7.0263,-16.32,-7.6379,-10.183,-12.125,-14.875,-1.8928,0.49304,-6.5421,7.1207,-12.334,7.0232,-10.628,-11.128,-2.8108,-11.564
55,-0.37076,9.853,9.3812,12.934,11.609,19.474,9.4457,16.132,-7.8306,1.9454,24.017,5.9517,27.791,26.505,-5.9798,16.277
