NaN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-0.99703,0.44543,-9.7885,-14.834,-2.026,-11.41,-14.672,-13.877,-2.4056,2.5287,-0.38044,-5.2984,-0.46581,-1.9378,0.94146,1.923
1,-13.595,-5.2019,-18.718,-23.082,-4.3832,-22.401,-20.409,-22.966,-16.604,-11.986,-13.927,-19.008,-12.198,-13.22,-5.6635,-8.2067
2,-11.277,-4.3001,-6.6403,-3.4163,-11.228,-8.2104,-3.0536,-5.4449,-24.194,-13.276,-11.403,-14.341,-9.9933,-10.772,-7.7543,-6.1383
3,5.0575,5.5352,-1.8073,-2.0146,-4.9436,-0.085128,-1.9827,-2.6215,-9.8656,-7.3972,1.8378,-1.2502,-1.8305,-2.1716,-2.7285,-2.5585
4,-1.9646,8.4186,-5.0996,-6.1376,5.788,-2.7233,-5.8543,-5.1023,-3.5366,-8.543,0.18883,-2.4038,-5.1116,-2.7198,-6.0457,-11.144
5,-0.99703,0.44543,-9.7885,-14.834,-2.026,-11.41,-14.672,-13.877,-2.4056,2.5287,-0.38044,-5.2984,-0.46581,-1.9378,0.94146,1.923
6,-13.595,-5.2019,-18.718,-23.082,-4.3832,-22.401,-20.409,-22.966,-16.604,-11.986,-13.927,-19.008,-12.198,-13.22,-5.6635,-8.2067
7,-11.277,-4.3001,-6.6403,-3.4163,-11.228,-8.2104,-3.0536,-5.4449,-24.194,-13.276,-11.403,-14.341,-9.9933,-10.772,-7.7543,-6.1383
8,5.0575,5.5352,-1.8073,-2.0146,-4.9436,-0.085128,-1.9827,-2.6215,-9.8656,-7.3972,1.8378,-1.2502,-1.8305,-2.1716,-2.7285,-2.5585
9,-1.9646,8.4186,-5.0996,-6.1376,5.788,-2.7233,-5.8543,-5.1023,-3.5366,-8.543,0.18883,-2.4038,-5.1116,-2.7198,-6.0457,-11.144
10,-0.99703,0.44543,-9.7885,-14.834,-2.026,-11.41,-14.672,-13.877,-2.4056,2.5287,-0.38044,-5.2984,-0.46581,-1.9378,0.94146,1.923
11,-13.595,-5.2019,-18.718,-23.082,-4.3832,-22.401,-20.409,-22.966,-16.604,-11.986,-13.927,-19.008,-12.198,-13.22,-5.6635,-8.2067
12,-11.277,-4.3001,-6.6403,-3.4163,-11.228,-8.2104,-3.0536,-5.4449,-24.194,-13.276,-11.403,-14.341,-9.9933,-10.772,-7.7543,-6.1383
13,5.0575,5.5352,-1.8073,-2.0146,-4.9436,-0.085128,-1.9827,-2.6215,-9.8656,-7.3972,1.8378,-1.2502,-1.8305,-2.1716,-2.7285,-2.5585
14,-1.9646,8.4186,-5.0996,-6.1376,5.788,-2.7233,-5.8543,-5.1023,-3.5366,-8.543,0.18883,-2.4038,-5.1116,-2.7198,-6.0457,-11.144
15,-0.99703,0.44543,-9.7885,-14.834,-2.026,-11.41,-14.672,-13.877,-2.4056,2.5287,-0.38044,-5.2984,-0.46581,-1.9378,0.94146,1.923
16,-13.595,-5.2019,-18.718,-23.082,-4.3832,-22.401,-20.409,-22.966,-16.604,-11.986,-13.927,-19.008,-12.198,-13.22,-5.6635,-8.2067
17,-11.277,-4.3001,-6.6403,-3.4163,-11.228,-8.2104,-3.0536,-5.4449,-24.194,-13.276,-11.403,-14.341,-9.9933,-10.772,-7.7543,-6.1383
18,5.0575,5.5352,-1.8073,-2.0146,-4.9436,-0.085128,-1.9827,-2.6215,-9.8656,-7.3972,1.8378,-1.2502,-1.8305,-2.1716,-2.7285,-2.5585
19,-1.9646,8.4186,-5.0996,-6.1376,5.788,-2.7233,-5.8543,-5.1023,-3.5366,-8.543,0.18883,-2.4038,-5.1116,-2.7198,-6.0457,-11.144
20,-0.99703,0.44543,-9.7885,-14.834,-2.026,-11.41,-14.672,-13.877,-2.4056,2.5287,-0.38044,-5.2984,-0.46581,-1.9378,0.94146,1.923
21,-13.595,-5.2019,-18.718,-23.082,-4.3832,-22.401,-20.409,-22.966,-16.604,-11.986,-13.927,-19.008,-12.198,-13.22,-5.6635,-8.2067
22,-11.277,-4.3001,-6.6403,-3.4163,-11.228,-8.2104,-3.0536,-5.4449,-24.194,-13.276,-11.403,-14.341,-9.9933,-10.772,-7.7543,-6.1383
23,5.0575,5.5352,-1.8073,-2.0146,-4.9436,-0.085128,-1.9827,-2.6215,-9.8656,-7.3972,1.8378,-1.2502,-1.8305,-2.1716,-2.7285,-2.5585
24,-1.9646,8.4186,-5.0996,-6.1376,5.788,-2.7233,-5.8543,-5.1023,-3.5366,-8.543,0.18883,-2.4038,-5.1116,-2.7198,-6.0457,-11.144
25,-0.99703,0.44543,-9.7885,-14.834,-2.026,-11.41,-14.672,-13.877,-2.4056,2.5287,-0.38044,-5.2984,-0.46581,-1.9378,0.94146,1.923
26,-13.595,-5.2019,-18.718,-23.082,-4.3832,-22.401,-20.409,-22.966,-16.604,-11.986,-13.927,-19.008,-12.198,-13.22,-5.6635,-8.2067
27,-11.277,-4.3001,-6.6403,-3.4163,-11.228,-8.2104,-3.0536,-5.4449,-24.194,-13.276,-11.403,-14.341,-9.9933,-10.772,-7.7543,-6.1383
