NaN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,10.699,-1.9051,14.301,15.476,-4.6288,16.416,13.211,10.398,5.4735,7.6116,10.354,6.2276,6.9859,0.46468,0.41984,6.094
1,2.9013,6.1261,2.2668,2.0477,-0.14294,3.1685,0.86287,-1.2425,8.1688,9.2749,9.6893,1.4124,2.1962,1.9152,-1.2255,1.5545
2,7.0054,2.8296,6.128,9.0063,-4.0486,11.317,7.7672,10.572,5.4515,1.1331,0.81746,-2.0748,-0.98443,-0.91433,-3.9947,-1.7029
3,13.816,-3.7974,16.071,17.338,-11.042,23.153,20.888,23.331,-2.9525,15.048,15.24,15.119,15.121,15.507,9.5988,10.419
4,9.8343,8.9543,4.5283,1.8861,1.4868,7.9325,5.9469,7.4413,8.1499,22.781,17.116,16.645,17.669,20.142,12.327,7.3277
5,10.764,-1.8935,14.404,15.581,-4.474,16.412,13.258,10.389,5.452,7.7605,10.37,6.2145,7.011,0.40306,0.5561,6.094
6,2.8984,6.1525,2.2878,2.0772,-0.15885,3.2093,0.85595,-1.1349,8.0825,9.2661,9.5455,1.3087,2.1882,1.9011,-1.2657,1.5545
7,6.8977,2.8629,6.1371,8.988,-3.9722,11.308,7.7409,10.498,5.4668,1.2834,0.73796,-2.0592,-1.0492,-0.99305,-4.0562,-1.7029
8,13.889,-3.9107,15.954,17.215,-10.883,23.221,20.897,23.414,-2.9051,15.03,15.283,15.037,15.131,15.683,9.5861,10.419
9,9.782,9.0607,4.4511,1.9881,1.5219,7.8965,5.9206,7.3425,8.214,22.903,16.95,16.66,17.586,20.24,12.315,7.3277
10,7.128,-2.468,1.5321,-3.6282,-2.0406,-3.3188,-2.4222,-10.693,-1.2246,-7.5768,-5.4939,-6.1518,-8.5256,-5.1391,-5.5079,5.3732
11,-4.2427,-2.5814,2.4056,2.9198,2.9175,-2.198,7.4667,-0.059254,-2.6301,-20.573,-11.606,-10.921,-13.873,-5.2227,-11.718,-7.5527
12,-1.694,-2.815,2.3526,3.5449,0.35777,4.24,8.907,7.0275,-1.9455,-8.7785,6.5577,7.1185,7.2193,14.323,5.4451,7.4162
13,19.474,0.74266,-0.7177,0.91989,2.2276,2.3131,2.7178,2.3138,-5.402,-6.6711,9.472,7.2613,9.5571,17.445,5.0281,10.863
14,52.973,2.5351,4.3801,0.99217,-0.6813,4.7407,2.3387,5.5091,-8.16,-4.5781,11.667,4.1283,4.8113,10.773,-1.1646,4.1218
15,7.1759,-2.5487,1.4959,-3.685,-2.0006,-3.4009,-2.3017,-10.652,-1.1262,-7.7112,-5.5681,-6.0554,-8.4743,-5.1696,-5.4566,5.3732
16,-4.2039,-2.6193,2.3517,3.0146,2.9059,-2.114,7.5231,0.036182,-2.5911,-20.557,-11.622,-11.022,-13.849,-5.2995,-11.558,-7.5527
17,-1.7057,-2.7949,2.4501,3.6473,0.20173,4.1237,8.8698,6.993,-1.8611,-8.7423,6.4877,7.167,7.1596,14.298,5.3956,7.4162
18,19.633,0.64073,-0.73699,0.96021,2.1619,2.264,2.8303,2.4101,-5.3763,-6.5772,9.4435,7.1939,9.5966,17.524,4.9907,10.863
19,52.973,2.6576,4.5262,0.97334,-0.77098,4.765,2.236,5.3764,-8.261,-4.687,11.619,4.096,4.8716,10.868,-1.1122,4.1218
20,7.1433,-2.5117,1.412,-3.59,-1.9249,-3.2716,-2.4314,-10.749,-1.1947,-7.5987,-5.4957,-6.1891,-8.3487,-5.2004,-5.4208,5.3732
