NaN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-24.243,-3.6527,-7.4543,-9.3964,5.2431,-7.0052,-10.359,-15.699,-5.6005,-0.87044,-14.05,-17.149,-13.49,-12.595,-10.295,-0.50671
1,-27.169,-10.698,-10.137,-12.599,0.24334,-9.8307,-8.6188,-12.534,-7.8301,1.0628,-9.9379,-16.756,-14.123,-12.637,-11.218,-12.85
2,-24.782,-8.7436,-3.8632,-2.6015,-8.5177,-1.9977,0.84614,-3.3819,-7.4038,-9.4774,8.9952,2.305,3.6846,-1.3594,5.0716,4.6124
3,-0.50578,0.96839,-6.5323,-6.9204,2.9921,-4.0843,-6.6234,-7.0513,0.42898,-0.52824,1.8766,-2.9484,-0.13095,-4.8758,-0.24948,3.968
4,-0.89305,3.9876,2.9794,3.6702,-6.521,4.8114,7.6705,9.5108,-5.7082,-1.9126,5.4617,4.9132,7.9835,9.331,6.6942,-0.86609
5,-0.23494,-7.6615,2.3063,2.6994,6.0622,3.1248,3.073,-2.6298,5.7954,16.188,-6.8078,-9.4476,-13.249,-0.16057,-17.992,-11.383
6,-7.4882,-1.9844,8.0852,9.6472,-2.1745,7.8046,10.633,2.5939,-4.0357,8.2597,-4.2226,-8.7555,-12.97,1.1097,-17.786,-4.9539
7,-11.489,0.75908,4.8266,9.2114,-0.85557,2.1042,2.4393,-3.2754,-1.0125,14.535,-0.060586,-14.615,-16.065,-6.9156,-14.999,-4.9478
8,-4.8458,5.8736,2.232,5.3353,4.6926,-0.1594,-2.6312,-11.308,-10.5,6.4526,1.142,-15.6,-14.536,-6.8422,-8.6923,-2.509
9,-5.8716,3.9506,1.0783,1.9496,9.656,1.563,-2.8138,-9.1949,-15.83,17.349,-10.577,-20.837,-20.38,-16.257,-17.064,-7.0424
10,-0.23807,-7.714,2.2769,2.7333,6.0353,3.2085,3.0241,-2.6098,5.7704,16.152,-6.8442,-9.3731,-13.274,-0.14799,-17.976,-11.383
11,-7.4188,-1.9965,8.1119,9.6681,-2.2178,7.813,10.657,2.6747,-4.0495,8.2275,-4.2541,-8.7896,-12.947,1.0592,-17.707,-4.9539
12,-11.444,0.78309,4.847,9.1865,-0.87703,2.1337,2.3496,-3.3241,-1.0638,14.582,-0.062486,-14.571,-16.04,-6.8761,-14.973,-4.9478
13,-4.8809,5.8982,2.2235,5.294,4.7289,-0.20122,-2.6283,-11.333,-10.532,6.5266,1.1741,-15.576,-14.497,-6.8914,-8.7055,-2.509
14,-5.8621,3.9052,1.0449,1.928,9.6148,1.5735,-2.8537,-9.1923,-15.748,17.347,-10.607,-20.917,-20.402,-16.232,-17.04,-7.0424
15,-0.27049,-7.6388,2.2291,2.7725,6.0326,3.1548,3.0528,-2.6241,5.8007,16.173,-6.792,-9.3744,-13.27,-0.11698,-17.921,-11.383
16,-7.5053,-1.9887,8.1107,9.674,-2.1864,7.8605,10.665,2.6456,-4.0175,8.3008,-4.221,-8.8063,-12.937,1.1009,-17.791,-4.9539
