NaN,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-7.7568,-2.4763,-1.7486,-1.6043,5.9864,-3.0058,-0.55748,-2.3461,-17.302,21.698,-13.684,-9.5063,-10.493,-1.6531,-7.4053,-12.637
1,15.382,0.59398,-3.4878,-3.2996,2.3914,-3.9917,-0.49316,-4.1664,-2.7622,8.5032,2.38,-0.27637,-2.6175,2.2711,1.5545,1.5787
2,3.5858,-10.192,-8.8756,-11.992,1.4299,-10.489,-4.0181,-6.1127,1.2072,13.159,-7.8956,-6.888,-6.8552,-5.4425,-3.5295,-2.7782
3,-3.248,2.8673,9.5727,5.0671,-13.123,6.8415,12.278,12.944,4.1264,3.8691,1.0833,-1.203,-3.2569,-1.3561,3.4987,-1.6073
4,8.9571,11.451,12.099,7.4194,-20.337,10.691,9.3044,9.3913,28.821,0.79804,16.822,11.132,5.3981,0.83867,8.2908,8.6974
5,-7.7645,-2.4901,-1.6975,-1.6529,6.0069,-2.9884,-0.51918,-2.3064,-17.299,21.667,-13.676,-9.4738,-10.522,-1.6042,-7.3932,-12.637
6,15.341,0.6675,-3.5124,-3.2714,2.357,-4.0141,-0.55291,-4.2051,-2.7725,8.5025,2.312,-0.33622,-2.6378,2.278,1.616,1.5787
7,3.6091,-10.212,-8.9253,-11.964,1.445,-10.549,-4.0422,-6.0847,1.2465,13.086,-7.9172,-6.8923,-6.7901,-5.4192,-3.5662,-2.7782
8,-3.1806,2.8054,9.5155,5.0066,-13.176,6.8386,12.239,12.872,4.1236,3.9193,1.0995,-1.1426,-3.2433,-1.412,3.5085,-1.6073
9,8.9857,11.478,12.069,7.4141,-20.324,10.616,9.3062,9.4157,28.83,0.75084,16.811,11.084,5.3279,0.84351,8.283,8.6974
10,-7.836,-2.4532,-1.7003,-1.6488,5.9556,-2.9699,-0.49729,-2.3103,-17.269,21.747,-13.639,-9.4552,-10.453,-1.6171,-7.3511,-12.637
11,15.324,0.60233,-3.5073,-3.3099,2.4166,-4.0131,-0.50894,-4.1841,-2.7271,8.5021,2.3344,-0.36168,-2.692,2.273,1.6197,1.5787
12,3.5542,-10.254,-8.93,-11.995,1.3955,-10.556,-4.0574,-6.1146,1.1604,13.145,-7.8801,-6.8662,-6.8875,-5.3983,-3.5573,-2.7782
13,-3.2541,2.8816,9.5653,4.9903,-13.144,6.8345,12.271,12.929,4.1459,3.8315,1.1234,-1.1589,-3.2036,-1.4333,3.4864,-1.6073
14,8.9141,11.447,12.089,7.3764,-20.324,10.659,9.33,9.3768,28.821,0.81726,16.814,11.115,5.3133,0.87439,8.292,8.6974
15,-7.7628,-2.4905,-1.6824,-1.6264,5.9702,-3.0543,-0.56725,-2.3593,-17.315,21.761,-13.719,-9.4954,-10.467,-1.6056,-7.4413,-12.637
16,15.372,0.6281,-3.4175,-3.2932,2.3495,-3.9812,-0.52865,-4.1703,-2.7738,8.4682,2.362,-0.31475,-2.6908,2.2404,1.5744,1.5787
17,3.6183,-10.21,-8.9527,-11.992,1.4459,-10.479,-4.0082,-6.0984,1.1601,13.131,-7.9485,-6.8914,-6.8398,-5.4484,-3.5175,-2.7782
18,-3.2156,2.8823,9.5857,5.0252,-13.125,6.8165,12.304,12.876,4.1705,3.8684,1.097,-1.1339,-3.2183,-1.4361,3.532,-1.6073
19,8.9369,11.536,12.043,7.4423,-20.302,10.617,9.3583,9.3506,28.844,0.77199,16.748,11.096,5.3926,0.85358,8.2479,8.6974
20,-7.7997,-2.4259,-1.7536,-1.6329,5.988,-3.01,-0.56369,-2.3123,-17.252,21.741,-13.699,-9.5351,-10.515,-1.6402,-7.3518,-12.637
21,15.365,0.66479,-3.4425,-3.3644,2.4278,-4.0417,-0.55781,-4.2486,-2.7637,8.4321,2.3479,-0.32137,-2.6536,2.3099,1.618,1.5787
22,3.5658,-10.216,-8.8982,-11.99,1.4106,-10.545,-4.0955,-6.1184,1.1742,13.11,-7.8605,-6.8293,-6.8631,-5.3973,-3.6027,-2.7782
23,-3.1817,2.8645,9.5916,5.0654,-13.204,6.8346,12.266,12.857,4.1504,3.911,1.1061,-1.1536,-3.2385,-1.4348,3.5052,-1.6073
24,8.9287,11.499,12.075,7.4049,-20.356,10.613,9.3086,9.3457,28.863,0.81429,16.831,11.122,5.3639,0.80011,8.2164,8.6974
25,-7.7907,-2.4473,-1.7315,-1.652,5.9786,-3.0278,-0.50715,-2.3481,-17.262,21.73,-13.693,-9.5423,-10.481,-1.5665,-7.3738,-12.637
26,15.3,0.6499,-3.4496,-3.3174,2.3921,-4.0537,-0.51085,-4.2172,-2.7576,8.4337,2.3401,-0.29922,-2.6603,2.298,1.5728,1.5787
27,3.5437,-10.263,-8.875,-11.949,1.4058,-10.515,-4.018,-6.0349,1.2222,13.161,-7.9191,-6.8697,-6.8582,-5.4092,-3.5656,-2.7782
28,-3.2122,2.8851,9.5341,5.0767,-13.137,6.9078,12.28,12.932,4.1621,3.887,1.0853,-1.197,-3.2475,-1.35,3.5124,-1.6073
29,8.9796,11.474,12.053,7.4078,-20.358,10.623,9.295,9.3297,28.84,0.8382,16.764,11.129,5.3872,0.84046,8.2237,8.6974
30,-7.8111,-2.4855,-1.6672,-1.6321,5.9726,-2.9884,-0.56558,-2.3446,-17.303,21.749,-13.709,-9.4946,-10.51,-1.6134,-7.3474,-12.637
31,15.385,0.63926,-3.5103,-3.3587,2.3945,-4.0212,-0.53481,-4.2187,-2.7414,8.459,2.3296,-0.2954,-2.6446,2.3052,1.6424,1.5787
32,3.5654,-10.174,-8.9395,-11.953,1.4002,-10.506,-4.0102,-6.1241,1.1987,13.108,-7.9494,-6.9134,-6.838,-5.4801,-3.5231,-2.7782
33,-3.1908,2.8393,9.6013,4.984,-13.138,6.8202,12.258,12.875,4.1291,3.8573,1.1212,-1.2157,-3.2159,-1.4211,3.5216,-1.6073
34,9.004,11.526,12.098,7.4343,-20.367,10.686,9.3518,9.3488,28.879,0.83997,16.835,11.077,5.3691,0.86194,8.264,8.6974
35,1.2465,4.7281,8.1955,7.5026,-15.336,8.9766,8.5145,6.872,-1.1403,-3.9566,5.037,5.6239,2.0411,2.682,4.524,4.4871
36,8.0894,5.7665,-0.092833,0.3467,-16.003,-0.059136,-1.3935,-3.9791,9.2749,-9.6166,1.3031,2.9987,-0.24416,-0.87551,-1.937,1.4224
37,8.1804,-3.6359,-13.436,-18.592,-3.3905,-9.9328,-14.61,-15.398,4.3729,0.90009,-5.6289,-4.732,-8.3628,-15.114,-15.554,-9.8727
38,-1.6606,2.4933,1.2174,-5.6413,-7.4692,1.9086,-0.11728,2.0347,-11.852,1.2037,2.1484,4.1693,-0.485,-6.0281,-6.675,0.14707
39,7.0085,-4.9113,1.078,-3.7781,1.7876,0.085969,-0.019203,2.5363,-0.12796,5.3101,-4.9319,0.18196,-0.10894,-2.4697,-5.922,-0.9806
40,1.2559,4.726,8.1879,7.4955,-15.307,8.9882,8.5031,6.8251,-1.1291,-3.9479,5.0483,5.6605,2.0362,2.7168,4.5096,4.4871
41,8.0653,5.8065,-0.03774,0.38847,-16.01,-0.056776,-1.3878,-4.0226,9.319,-9.6256,1.2945,3.0533,-0.32674,-0.9095,-1.93,1.4224
42,8.1146,-3.591,-13.501,-18.658,-3.3828,-9.9492,-14.545,-15.35,4.4023,0.81993,-5.6252,-4.7603,-8.4008,-15.107,-15.571,-9.8727
43,-1.6451,2.5819,1.2246,-5.6767,-7.5288,1.8858,-0.079173,2.0334,-11.944,1.2707,2.1667,4.1569,-0.49432,-6.0123,-6.6269,0.14707
44,7.0486,-4.943,1.0448,-3.8454,1.738,0.088074,-0.022127,2.5888,-0.12456,5.287,-4.8625,0.22923,-0.061087,-2.5125,-5.932,-0.9806
45,1.2271,4.7743,8.1377,7.471,-15.363,8.9325,8.5021,6.8868,-1.1511,-3.9593,4.9648,5.6695,1.9876,2.7389,4.5548,4.4871
46,8.047,5.8089,-0.1173,0.43115,-15.98,-0.039957,-1.3955,-4.0227,9.3003,-9.6315,1.2367,3.0372,-0.26642,-0.91686,-1.9313,1.4224
47,8.1634,-3.6351,-13.432,-18.618,-3.3377,-9.8683,-14.575,-15.38,4.3549,0.89979,-5.6306,-4.8105,-8.4192,-15.055,-15.536,-9.8727
48,-1.6101,2.5004,1.2849,-5.7041,-7.5245,1.8553,-0.070716,1.9859,-11.872,1.2317,2.159,4.214,-0.47977,-5.9588,-6.7059,0.14707
49,7.0159,-4.9369,1.1004,-3.8404,1.7589,0.14316,-0.026578,2.5751,-0.13638,5.3446,-4.9489,0.15787,-0.072667,-2.4645,-5.9123,-0.9806
50,1.2172,4.7346,8.1382,7.5207,-15.332,8.9676,8.5353,6.8829,-1.1771,-3.9305,5.0235,5.688,2.0384,2.7608,4.5225,4.4871
51,8.0486,5.7796,-0.10223,0.42737,-15.975,-0.054625,-1.3685,-3.9796,9.3197,-9.65,1.225,3.0529,-0.27946,-0.89269,-1.9865,1.4224
52,8.1991,-3.6226,-13.462,-18.61,-3.3884,-9.8952,-14.568,-15.329,4.3762,0.82836,-5.5962,-4.7755,-8.4583,-15.088,-15.564,-9.8727
53,-1.6679,2.5438,1.227,-5.6848,-7.5154,1.8393,-0.1061,2.0249,-11.87,1.2351,2.1357,4.1841,-0.54835,-5.9576,-6.6256,0.14707
54,7.0382,-4.9139,1.0407,-3.8263,1.7504,0.085888,0.052552,2.5687,-0.17699,5.3263,-4.9154,0.15252,-0.14692,-2.5082,-5.8863,-0.9806
55,1.2361,4.7635,8.2275,7.545,-15.379,9.022,8.5611,6.8607,-1.1343,-4.0206,5.0558,5.6182,1.9905,2.7337,4.5176,4.4871
56,8.0252,5.7932,-0.050055,0.35798,-15.99,-0.06454,-1.4134,-3.9833,9.2755,-9.6006,1.2372,3.0308,-0.24904,-0.90832,-1.9856,1.4224
57,8.1322,-3.6421,-13.448,-18.663,-3.4191,-9.9567,-14.518,-15.397,4.3969,0.82987,-5.6146,-4.7531,-8.3975,-15.121,-15.516,-9.8727
58,-1.6421,2.5037,1.2402,-5.7007,-7.5132,1.8717,-0.064335,2.0107,-11.875,1.2459,2.0803,4.1678,-0.51248,-6.0006,-6.6773,0.14707
59,7.031,-4.9717,1.0169,-3.8079,1.8091,0.060516,-0.034165,2.5106,-0.1628,5.269,-4.8859,0.2115,-0.13983,-2.4827,-5.9563,-0.9806
60,1.237,4.7518,8.1672,7.5442,-15.289,8.9398,8.4718,6.8369,-1.2006,-3.9645,5.0289,5.6594,1.9571,2.7466,4.5746,4.4871
